node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000159352,484,0.000567020246224374,0.306169973215672,234,4
ENSG00000127445,525,0.000624514793366127,0.339220510234395,234,3
ENSG00000047315,524,0.000575149726446989,0.310843176160953,234,4
ENSG00000181754,516,0.000627110215617575,0.340712479533487,234,3
ENSG00000143436,371,0.000437190035113466,0.231537535675283,234,4
ENSG00000116120,282,0.000378337589700423,0.197706415639317,201,4
ENSG00000055163,501,0.000614986759120047,0.333743353456564,234,3
ENSG00000132507,361,0.000468360001771852,0.249455480734933,209,4
ENSG00000144021,343,0.00048342420875226,0.258115086823075,223,5
ENSG00000143727,615,0.000695243674799393,0.37987875749982,234,4
ENSG00000164405,101,0.000275729990856874,0.138722800451951,80,4
ENSG00000124785,324,0.000381074738820289,0.199279856127314,210,3
ENSG00000084234,473,0.000578180405237659,0.312585351141755,234,4
ENSG00000143155,485,0.000535398613787925,0.287992389681417,234,5
ENSG00000174514,167,0.000281314856092506,0.141933240474372,115,3
ENSG00000040933,330,0.000561353123637721,0.302912247846028,170,3
ENSG00000155744,63,0.000189947292738762,0.0894109199230275,42,5
ENSG00000167755,19,0.000300137895372653,0.152753598011923,12,8
ENSG00000136854,387,0.000553750017066966,0.298541628932299,201,3
ENSG00000198689,586,0.000695357184404222,0.379944008094579,234,3
ENSG00000084093,128,0.00114202083111642,0.636707025188751,30,8
ENSG00000139973,210,0.000313831897790283,0.160625546854698,135,3
ENSG00000107874,313,0.000389554986774025,0.204154696661877,209,4
ENSG00000108309,268,0.000412652936120247,0.217432471127022,164,3
ENSG00000178502,646,0.000767286898482387,0.421292549757588,234,5
ENSG00000151500,436,0.000512154472868582,0.274630577507663,234,4
ENSG00000143013,272,0.000346476742778684,0.179391320504493,192,3
ENSG00000073464,326,0.000421532497471393,0.222536855555384,207,5
ENSG00000134590,701,0.00079466964539018,0.437033424942135,234,4
ENSG00000103591,659,0.000740837014880298,0.406087927744018,234,4
ENSG00000054356,230,0.000305935698170758,0.156086444438795,164,3
ENSG00000203930,7,0.000231967442719792,0.113566054479637,5,2
ENSG00000084623,333,0.000473580143356746,0.252456260657056,201,4
ENSG00000091483,220,0.000295162677009085,0.149893611337084,172,4
ENSG00000125037,353,0.000505562512431666,0.270841212371712,198,4
ENSG00000187189,511,0.000601577397054824,0.326035029113363,234,3
ENSG00000164885,466,0.000522316995062385,0.280472467437534,234,5
